#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321ABEE3D
#Date Time: 2023-11-30 06:30:19.329
#Sample rate: 800Hz
#Samples: 17716
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-154.91875,-0.01207100353546403,-0.0006359147271956406
-154.9175,-0.01207100353546403,-0.0009724192387063802
-154.91625,-0.01207100353546403,-0.0006359147271907438
-154.915,-0.01207100353546403,-0.0002994102156702108
-154.91375,-0.01207100353546403,-0.0002994102156702108
-154.9125,-0.01207100353546403,-0.0002994102156702108
-154.91125,-0.01207100353546403,3.709429585032226e-05
-154.91,-0.01207100353546403,3.709429585032226e-05
-154.90875,-0.01207100353546403,3.709429585032226e-05
-154.9075,-0.01207100353546403,0.0003735988073708553
-154.90625,-0.01207100353546403,3.709429585032226e-05
-154.905,-0.01207100353546403,-0.0002994102156702108
-154.90375,-0.01207100353546403,-0.0006359147271907438
-154.9025,-0.01207100353546403,-0.000972419238711277
-154.90125,-0.01207100353546403,-0.000972419238711277
-154.9,-0.01207100353546403,-0.000972419238711277
-154.89875,-0.01207100353546403,-0.0006359147271907438
-154.8975,-0.01207100353546403,-0.000972419238711277
-154.89625,-0.01207100353546403,-0.0006359147271907438
-154.895,-0.01207100353546403,-0.0002994102156751076
-154.89375,-0.01207100353546403,-0.0002994102156702108
-154.8925,-0.01207100353546403,-0.0002994102156702108
-154.89125,-0.01207100353546403,3.709429584542546e-05
-154.89,-0.01207100353546403,3.709429585032226e-05
-154.88875,-0.01207100353546403,3.709429585521905e-05
-154.8875,-0.01207100353546403,0.0003735988073659585
-154.88625,-0.01207100353546403,3.709429584542548e-05
-154.885,-0.01207100353546403,-0.0002994102156702108
-154.88375,-0.01207100353546403,-0.0006359147271907438
-154.8825,-0.01207100353546403,-0.0006359147271907438
-154.88125,-0.01207100353546403,-0.000972419238711277
-154.88,-0.01207100353546403,-0.000972419238711277
-154.87875,-0.01207100353546403,-0.0006359147271907438
-154.8775,-0.01207100353546403,-0.000972419238711277
-154.87625,-0.01207100353546403,-0.0006359147271907438
-154.875,-0.01207100353546403,-0.0002994102156702108
-154.87375,-0.01207100353546403,-0.0002994102156702108
-154.8725,-0.01207100353546403,-0.0002994102156702108
-154.87125,-0.01207100353546403,3.709429585032226e-05
-154.87,-0.01207100353546403,3.709429585032226e-05
-154.86875,-0.01207100353546403,3.709429585032226e-05
-154.8675,-0.01207100353546403,0.0003735988073708553
-154.86625,-0.01207100353546403,3.709429585032226e-05
-154.865,-0.01207100353546403,-0.0002994102156702108
-154.86375,-0.01207100353546403,-0.000635914727185847
-154.8625,-0.01207100353546403,-0.0006359147271907438
-154.86125,-0.01207100353546403,-0.0009724192387063802
-154.86,-0.01207100353546403,-0.000972419238711277
-154.85875,-0.01207100353546403,-0.0006359147271956406
-154.8575,-0.01207100353546403,-0.0009724192387063802
-154.85625,-0.01207100353546403,-0.0006359147271907438
-154.855,-0.01207100353546403,-0.000635914727185847
-154.85375,-0.01207100353546403,-0.0002994102156702108
-154.8525,-0.01207100353546403,-0.0002994102156702108
-154.85125,-0.01207100353546403,3.709429585032226e-05
-154.85,-0.01207100353546403,3.709429585032226e-05
-154.84875,-0.01207100353546403,3.709429585032226e-05
-154.8475,-0.01207100353546403,0.0003735988073708553
-154.84625,-0.01207100353546403,3.709429585032226e-05
-154.845,-0.01207100353546403,-0.0002994102156702108
-154.84375,-0.01207100353546403,-0.0006359147271907438
-154.8425,-0.01207100353546403,-0.0006359147271907438
-154.84125,-0.01207100353546403,-0.000972419238711277
-154.84,-0.01207100353546403,-0.000972419238711277
-154.83875,-0.01207100353546403,-0.0006359147271907438
-154.8375,-0.01207100353546403,-0.000972419238711277
-154.83625,-0.01207100353546403,-0.0006359147271907438
-154.835,-0.01207100353546403,-0.0006359147271907438
-154.83375,-0.01207100353546403,-0.0002994102156702108
-154.8325,-0.01207100353546403,-0.0002994102156702108
-154.83125,-0.01207100353546403,3.709429584542546e-05
-154.83,-0.01207100353546403,3.709429585032226e-05
-154.82875,-0.01207100353546403,3.709429585032226e-05
-154.8275,-0.01207100353546403,3.709429585032226e-05
-154.82625,-0.01207100353546403,3.709429584542548e-05
-154.825,-0.01207100353546403,-0.0002994102156751076
-154.82375,-0.01207100353546403,-0.0006359147271907438
-154.8225,-0.01207100353546403,-0.0006359147271907438
-154.82125,-0.01207100353546403,-0.000972419238711277
-154.82,-0.01207100353546403,-0.000972419238711277
-154.81875,-0.01207100353546403,-0.000972419238711277
-154.8175,-0.01207100353546403,-0.000972419238711277
-154.81625,-0.01207100353546403,-0.0006359147271907438
-154.815,-0.01207100353546403,-0.0006359147271907438
-154.81375,-0.01207100353546403,-0.0002994102156702108
-154.8125,-0.01207100353546403,-0.0002994102156702108
-154.81125,-0.01207100353546403,-0.0002994102156702108
-154.81,-0.01207100353546403,3.709429585032226e-05
-154.80875,-0.01207100353546403,3.709429585032226e-05
-154.8075,-0.01207100353546403,3.709429585032226e-05
-154.80625,-0.01207100353546403,3.709429585032226e-05
-154.805,-0.01207100353546403,-0.0002994102156702108
-154.80375,-0.01207100353546403,-0.0006359147271907438
-154.8025,-0.01207100353546403,-0.0006359147271907438
-154.80125,-0.01207100353546403,-0.0009724192387063802
-154.8,-0.01207100353546403,-0.000972419238711277
-154.79875,-0.01207100353546403,-0.0006359147271956406
-154.7975,-0.01207100353546403,-0.0009724192387063802
-154.79625,-0.01207100353546403,-0.000635914727185847
-154.795,-0.01207100353546403,-0.0002994102156702108
-154.79375,-0.01207100353546403,-0.0002994102156702108
-154.7925,-0.01207100353546403,-0.000299410215665314
-154.79125,-0.01207100353546403,3.709429585032226e-05
-154.79,-0.01207100353546403,3.709429585032226e-05
-154.78875,-0.01207100353546403,3.709429585032226e-05
-154.7875,-0.01207100353546403,3.709429585032226e-05
-154.78625,-0.01207100353546403,3.709429585032226e-05
-154.785,-0.01207100353546403,-0.0002994102156702108
-154.78375,-0.01207100353546403,-0.0006359147271907438
-154.7825,-0.01207100353546403,-0.0006359147271907438
-154.78125,-0.01207100353546403,-0.000972419238711277
-154.78,-0.01207100353546403,-0.000972419238711277
-154.77875,-0.01207100353546403,-0.0006359147271907438
-154.7775,-0.01207100353546403,-0.000972419238711277
-154.77625,-0.01207100353546403,-0.0006359147271907438
-154.775,-0.01207100353546403,-0.0006359147271907438
-154.77375,-0.01207100353546403,-0.0002994102156702108
-154.7725,-0.01207100353546403,-0.0002994102156702108
-154.77125,-0.01207100353546403,3.709429585032226e-05
-154.77,-0.01207100353546403,3.709429585032226e-05
-154.76875,-0.01207100353546403,3.709429585032226e-05
-154.7675,-0.01207100353546403,3.709429585032226e-05
-154.76625,-0.01207100353546403,3.709429585032226e-05
-154.765,-0.01207100353546403,-0.0002994102156751076
-154.76375,-0.01207100353546403,-0.0006359147271956406
-154.7625,-0.01207100353546403,-0.000972419238711277
-154.76125,-0.01207100353546403,-0.000972419238711277
-154.76,-0.01207100353546403,-0.000972419238711277
-154.75875,-0.01207100353546403,-0.000972419238711277
-154.7575,-0.01207100353546403,-0.000972419238711277
-154.75625,-0.01207100353546403,-0.000972419238711277
-154.755,-0.01207100353546403,-0.0006359147271907438
-154.75375,-0.01207100353546403,-0.0002994102156702108
-154.7525,-0.01207100353546403,-0.0002994102156702108
-154.75125,-0.01207100353546403,-0.0002994102156702108
-154.75,-0.01207100353546403,3.709429585032226e-05
-154.74875,-0.01207100353546403,3.709429585032226e-05
-154.7475,-0.01207100353546403,3.709429585032226e-05
-154.74625,-0.01207100353546403,3.709429585032226e-05
-154.745,-0.01207100353546403,-0.0002994102156702108
-154.74375,-0.01207100353546403,-0.0006359147271907438
-154.7425,-0.01207100353546403,-0.0006359147271907438
-154.74125,-0.01207100353546403,-0.000972419238711277
-154.74,-0.01207100353546403,-0.000972419238711277
-154.73875,-0.01207100353546403,-0.0006359147271956406
-154.7375,-0.01207100353546403,-0.0009724192387063802
-154.73625,-0.01207100353546403,-0.0006359147271956406
-154.735,-0.01207100353546403,-0.0006359147271907438
-154.73375,-0.01207100353546403,-0.0002994102156702108
-154.7325,-0.01207100353546403,-0.000299410215665314
-154.73125,-0.01207100353546403,3.709429585032226e-05
-154.73,-0.01207100353546403,3.709429585032226e-05
