#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321ABEE3D
#Date Time: 2023-11-30 10:15:58.546
#Sample rate: 136.533Hz
#Samples: 3656
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-960.0023437557221,0.0401059141393417,-0.0006359147271907438
-959.9950195157221,1.877478800830715,-0.000972419238711277
-959.9876952757221,1.888659568903887,-0.0006359147271907438
-959.9803710357221,1.896113414286003,-0.0006359147271907438
-959.9730467957221,1.903567259668118,-0.000972419238711277
-959.9657225557221,1.907294182359175,-0.0006359147271907438
-959.9583983157221,1.91474802774129,-0.000972419238711277
-959.9510740757221,1.91474802774129,-0.0006359147271907438
-959.9437498357221,1.843936496611197,-0.0006359147271907438
-959.9364255957221,1.344528856009485,-0.000972419238711277
-959.9291013557221,0.9792904322858448,-0.0006359147271907438
-959.9217771157221,0.744494302749219,-0.0006359147271907438
-959.9144528757221,0.5842366270337442,-0.000972419238711277
-959.9071286357221,0.468702023609767,-0.0006359147271907438
-959.8998043957222,0.3867097244088872,-0.0006359147271907438
-959.8924801557222,0.3270789613507732,-0.000972419238711277
-959.8851559157222,0.2786289663670251,-0.0006359147271907438
-959.8778316757222,0.2413597394564495,-0.000972419238711277
-959.8705074357222,0.2078174352369315,-0.0006359147271907438
-959.8631831957222,0.1854558990905862,-0.0006359147271907438
-959.8558589557222,0.1668212856352985,-0.000972419238711277
-959.8485347157222,0.1481866721800107,-0.0006359147271907438
-959.8412104757222,0.7295866119849889,-0.0006359147271907438
-959.8338862357222,1.542055758635535,-0.000972419238711277
-959.8265619957222,1.728401893188413,-0.0006359147271907438
-959.8192377557222,1.806667269700621,-0.0006359147271907438
-959.8119135157222,1.847663419302255,-0.000972419238711277
-959.8045892757222,1.873751878139657,-0.0006359147271907438
-959.7972650357221,1.892386491594945,-0.000972419238711277
-959.7899407957221,1.903567259668118,-0.0006359147271907438
-959.7826165557221,1.911021105050233,-0.0006359147271907438
-959.7752923157221,1.918474950432348,-0.000972419238711277
-959.7679680757221,1.922201873123405,-0.0006359147271907438
-959.7606438357221,1.925928795814463,-0.0006359147271907438
-959.7533195957221,1.929655718505521,-0.000972419238711277
-959.7459953557221,1.933382641196578,-0.0006359147271907438
-959.7386711157221,1.583051908237168,-0.0006359147271907438
-959.7313468757221,1.132094262619205,-0.0006359147271907438
-959.7240226357221,0.8488481380988305,-0.0006359147271907438
-959.7166983957221,0.6625020035459529,-0.000972419238711277
-959.7093741557221,0.528332786667881,-0.0006359147271907438
-959.7020499157221,0.4314327967003846,-0.0006359147271907438
-959.6947256757221,0.3606212655702912,-0.000972419238711277
-959.6874014357221,0.3047174252044279,-0.0006359147271907438
-959.6800771957221,0.2637212756027948,-0.0006359147271907438
-959.6727529557221,0.2301789713832769,-0.000972419238711277
-959.6654287157221,0.204090512545874,-0.0006359147271907438
-959.6581044757221,0.1817289763995287,-0.000972419238711277
-959.6507802357221,0.1630943629442409,-0.0006359147271907438
-959.6434559957221,0.2525405075296221,-0.0006359147271907438
-959.6361317557221,1.329621165245255,-0.000972419238711277
-959.6288075157221,1.672498052822549,-0.0006359147271907438
-959.6214832757221,1.784305733554276,-0.0006359147271907438
-959.6141590357221,1.840209573920139,-0.000972419238711277
-959.6068347957221,1.8700249554486,-0.0006359147271907438
-959.5995105557221,1.892386491594945,-0.0006359147271907438
-959.5921863157221,1.90356725966828,-0.0009724192387063802
-959.5848620757222,1.914748027741128,-0.0006359147271956406
-959.5775378357222,1.922201873123405,-0.000972419238711277
-959.5702135957222,1.925928795814463,-0.0006359147271907438
-959.5628893557222,1.929655718505521,-0.0006359147271907438
-959.5555651157222,1.933382641196578,-0.000972419238711277
-959.5482408757222,1.937109563887636,-0.0006359147271907438
-959.5409166357222,1.825301883155909,-0.0006359147271907438
-959.5335923957222,1.318440397172082,-0.000972419238711277
-959.5262681557222,0.9755635095947872,-0.0006359147271907438
-959.5189439157222,0.7482212254402766,-0.000972419238711277
-959.5116196757222,0.5916904724158594,-0.0006359147271907438
-959.5042954357222,0.4798827916841328,-0.0006359147271907438
-959.4969711957222,0.3978904924808667,-0.000972419238711277
-959.4896469557222,0.3345328067328883,-0.0006359147271907438
-959.4823227157221,0.2860828117491401,-0.0006359147271907438
-959.4749984757221,0.2488135848385646,-0.000972419238711277
-959.4676742357221,0.2189982033101042,-0.0006359147271907438
-959.4603499957221,0.1929097444727013,-0.0006359147271907438
-959.4530257557221,0.1742751310174136,-0.000972419238711277
-959.4457015157221,0.1556405175621258,-0.0006359147271907438
-959.4383772757221,0.845121215407773,-0.0006359147271907438
-959.4310530357221,1.579324985546111,-0.0006359147271907438
-959.4237287957221,1.750763429334758,-0.0006359147271907438
-959.4164045557221,1.825301883155909,-0.000972419238711277
-959.4090803157221,1.862571110066485,-0.0006359147271907438
-959.4017560757221,1.888659568903887,-0.0006359147271907438
-959.3944318357221,1.903567259668118,-0.000972419238711277
-959.3871075957221,1.91474802774129,-0.0006359147271907438
-959.3797833557221,1.922201873123405,-0.0006359147271907438
-959.3724591157221,1.929655718505521,-0.000972419238711277
-959.3651348757221,1.933382641196578,-0.0006359147271907438
-959.3578106357221,1.937109563887636,-0.000972419238711277
-959.3504863957221,1.937109563887636,-0.0006359147271907438
-959.3431621557221,1.937109563887636,-0.0006359147271907438
-959.3358379157221,1.538328835944478,-0.000972419238711277
-959.3285136757221,1.109732726472859,-0.0006359147271907438
-959.3211894357221,0.8413942927167154,-0.0006359147271907438
-959.3138651957221,0.6587750808548953,-0.000972419238711277
-959.3065409557221,0.528332786667881,-0.0006359147271907438
-959.2992167157221,0.4351597193914422,-0.0006359147271907438
-959.2918924757221,0.3643481882613487,-0.0006359147271907438
-959.2845682357221,0.312171270586543,-0.0006359147271907438
-959.2772439957221,0.2674481982933642,-0.0009724192387063802
-959.2699197557222,0.2339058940748225,-0.0006359147271956406
-959.2625955157222,0.2078174352369315,-0.0006359147271907438
-959.2552712757222,0.1854558990905862,-0.000972419238711277
-959.2479470357222,0.1668212856352985,-0.0006359147271907438
-959.2406227957222,0.3829828017166365,-0.0006359147271907438
-959.2332985557222,1.426521155212751,-0.000972419238711277
-959.2259743157222,1.70231343435101,-0.0006359147271907438
-959.2186500757222,1.802940347009564,-0.000972419238711277
-959.2113258357222,1.851390341993312,-0.000972419238711277
-959.2040015957222,1.881205723521772,-0.0006359147271907438
-959.1966773557222,1.89984033697706,-0.000972419238711277
-959.1893531157222,1.91474802774129,-0.0006359147271907438
-959.1820288757222,1.922201873123405,-0.0006359147271907438
-959.1747046357222,1.929655718505521,-0.000972419238711277
-959.1673803957221,1.933382641196578,-0.0006359147271907438
-959.1600561557221,1.937109563887636,-0.0006359147271907438
-959.1527319157221,1.940836486578693,-0.0006359147271907438
-959.1454076757221,1.944563409269751,-0.0002994102156702108
-959.1380834357221,1.765671120098988,-0.000972419238711277
-959.1307591957221,1.262536556806219,-0.0006359147271907438
-959.1234349557221,0.9420212053752692,-0.0006359147271907438
-959.1161107157221,0.7295866119849889,-0.000972419238711277
-959.1087864757221,0.5805097043426868,-0.0006359147271907438
-959.1014622357221,0.4724289463020177,-0.0006359147271907438
-959.0941379957221,0.3941635697898092,-0.000972419238711277
-959.0868137557221,0.3345328067328883,-0.0006359147271907438
-959.0794895157221,0.2860828117491401,-0.0006359147271907438
-959.0721652757221,0.2488135848385646,-0.000972419238711277
-959.0648410357221,0.2189982033101042,-0.0006359147271907438
-959.0575167957221,0.1966366671637589,-0.000972419238711277
